,w1,w2,cosin
0,憂鬱症,治療,0.8118714
1,憂鬱症,症狀,0.5318996
2,憂鬱症,憂鬱,0.57923526
3,憂鬱症,情緒,0.509128
4,憂鬱症,患者,0.54887486
5,憂鬱症,心理,0.60932034
6,憂鬱症,醫師,0.47342584
7,憂鬱症,疾病,0.58538777
8,憂鬱症,壓力,0.49310637
9,憂鬱症,藥物,0.5384097
10,憂鬱症,生活,0.49099898
11,憂鬱症,健康,0.46842143
12,憂鬱症,身體,0.3102839
13,憂鬱症,自殺,0.42814896
14,憂鬱症,發作,0.23901758
15,憂鬱症,嚴重,0.20939171
16,憂鬱症,檢測,0.476843
17,憂鬱症,需要,0.48791736
18,憂鬱症,精神,0.41699868
19,憂鬱症,無法,0.14714038
20,憂鬱症,出現,0.18489906
21,憂鬱症,問題,0.20770305
22,憂鬱症,建議,0.31705672
23,憂鬱症,閱讀,0.04195154
24,憂鬱症,血清素,0.29141074
25,憂鬱症,前兆,0.09736802
26,憂鬱症,自我,0.32720074
27,憂鬱症,造成,0.34470814
28,憂鬱症,持續,0.17055093
29,憂鬱症,診斷,0.31269023
30,憂鬱症,思考,0.18518421
31,憂鬱症,容易,0.14513913
32,憂鬱症,神經,0.32318297
34,憂鬱症,罹患,0.32345548
35,憂鬱症,原因,0.20638573
36,憂鬱症,因素,0.3961716
37,憂鬱症,研究,0.33934695
38,憂鬱症,協助,0.39905185
39,憂鬱症,低落,0.07059691
40,憂鬱症,療法,0.30927414
41,憂鬱症,台灣,0.2557284
42,憂鬱症,行為,0.24145764
43,憂鬱症,物質,0.29437438
44,憂鬱症,防治,0.182307
45,憂鬱症,時間,0.10692941
46,憂鬱症,失去,0.27834076
47,憂鬱症,飲食,0.07133691
48,憂鬱症,資訊,0.21654907
49,憂鬱症,使用,0.27606857
50,憂鬱症,導致,0.22732455
51,憂鬱症,失眠,0.13970809
52,憂鬱症,表現,0.18998632
53,憂鬱症,相關,0.2510154
54,憂鬱症,睡眠,0.07959195
55,憂鬱症,預防,0.15495339
56,憂鬱症,服務,0.088308685
57,憂鬱症,焦慮,0.02004116
58,憂鬱症,精神科,0.1573016
59,憂鬱症,功能,0.006098576
60,憂鬱症,程度,0.11900431
61,憂鬱症,知道,0.13678569
63,憂鬱症,運動,0.211543
64,憂鬱症,家人,0.16756758
65,憂鬱症,發現,0.15224609
66,憂鬱症,感覺,0.086623214
67,憂鬱症,診所,0.21356213
68,憂鬱症,心情,0.19838893
69,憂鬱症,影響,0.23161176
70,憂鬱症,通常,0.36226976
71,憂鬱症,方式,0.29474455
73,憂鬱症,自律神經,0.16075027
74,憂鬱症,復發,0.10961647
75,憂鬱症,推薦,0.26243842
76,憂鬱症,大腦,0.18453385
77,憂鬱症,了解,0.14886141
78,憂鬱症,病患,0.40634656
79,憂鬱症,焦慮症,0.2224896
80,憂鬱症,常見,0.24606976
82,憂鬱症,增加,0.32411557
83,憂鬱症,負面,0.14008948
84,憂鬱症,改變,0.18329957
85,憂鬱症,資料,0.3130235
86,憂鬱症,長期,0.12780577
87,憂鬱症,專業,0.30172077
88,憂鬱症,失調,0.032575138
89,憂鬱症,康健,0.12500796
90,憂鬱症,工作,0.3252123
92,憂鬱症,醫學,0.37780917
93,憂鬱症,認知,0.22777897
94,憂鬱症,醫療,0.204908
95,憂鬱症,網站,0.01911584
96,憂鬱症,興趣,0.15618521
97,憂鬱症,生理,0.30019715
98,憂鬱症,心理治療,0.3356123
99,憂鬱症,重要,0.24452598
100,憂鬱症,社會,0.22084421
101,憂鬱症,躁鬱症,0.04353842
102,憂鬱症,幫助,0.23104233
103,憂鬱症,發生,0.16173191
104,憂鬱症,線上,0.07681029
105,憂鬱症,病人,0.31982005
106,憂鬱症,產生,0.1685256
107,憂鬱症,尋求,0.31914538
108,憂鬱症,協會,0.032783434
109,憂鬱症,體重,0.16879496
110,憂鬱症,衛生,0.24763557
111,憂鬱症,提供,0.26346758
112,憂鬱症,方法,0.19048032
113,憂鬱症,效果,0.22514647
114,憂鬱症,諮商,0.13743687
115,憂鬱症,服用,0.2754073
116,憂鬱症,就醫,0.3080642
117,憂鬱症,念頭,0.18271355
118,憂鬱症,事情,0.11757043
119,憂鬱症,世界,0.31706667
120,憂鬱症,狀態,0.03535445
121,憂鬱症,女性,0.12562825
122,憂鬱症,刺激,0.20744406
123,憂鬱症,臨床,0.099070586
124,憂鬱症,調節,0.13003924
125,憂鬱症,障礙,0.052199483
126,憂鬱症,以下,0.05936409
127,憂鬱症,更多,0.25301602
128,憂鬱症,超過,0.3079883
130,憂鬱症,醫生,0.31246376
131,憂鬱症,醫院,0.11042329
132,憂鬱症,陪伴,0.24792634
133,憂鬱症,包括,0.15905842
134,憂鬱症,接受,0.15303677
135,憂鬱症,缺乏,0.093495056
136,憂鬱症,主要,0.25003123
137,憂鬱症,支持,0.1442846
138,憂鬱症,適當,0.11768006
139,憂鬱症,傳導,0.192613
141,憂鬱症,評估,0.22409715
142,憂鬱症,習慣,0.105980024
143,憂鬱症,家庭,0.19468683
144,憂鬱症,關係,0.16749923
145,憂鬱症,延伸,0.14296776
146,憂鬱症,大於,0.013792165
147,憂鬱症,青少年,0.15961078
149,憂鬱症,中心,0.15274738
150,憂鬱症,照顧,0.2165013
151,憂鬱症,傳真,0.16184066
153,憂鬱症,過度,0.26889616
154,憂鬱症,組織,0.37449634
155,憂鬱症,預約,0.15765512
156,憂鬱症,性格,0.08425622
158,憂鬱症,認識,0.07552266
159,憂鬱症,現在,0.26922637
160,憂鬱症,門診,0.02970101
162,憂鬱症,身心科,0.12069981
163,憂鬱症,動作,0.12708648
164,憂鬱症,悲傷,0.043516867
165,憂鬱症,注意力,0.17625406
166,憂鬱症,地址,0.0070616566
167,憂鬱症,分級,0.009634979
170,憂鬱症,重度,0.14682451
171,憂鬱症,反應,0.058739025
172,憂鬱症,諮詢,0.13305852
173,憂鬱症,困擾,0.13244595
174,憂鬱症,狀況,0.11404575
175,憂鬱症,舒服,0.0620346
176,憂鬱症,朋友,0.017692097
178,憂鬱症,感到,0.09736376
179,憂鬱症,病情,0.29921192
182,憂鬱症,明顯,0.10343777
183,憂鬱症,活動,0.122699626
184,憂鬱症,標準,0.17408031
185,憂鬱症,遺傳,0.18509324
186,憂鬱症,腎上腺素,0.19144166
187,憂鬱症,慢性,0.07273705
188,憂鬱症,透過,0.12443289
189,憂鬱症,測試,0.04956925
190,憂鬱症,維持,0.02852191
192,憂鬱症,死亡,0.040088795
193,憂鬱症,罪惡感,0.13854487
194,憂鬱症,營養,0.09404089
195,憂鬱症,有效,0.12635109
196,憂鬱症,稱為,0.07618939
197,憂鬱症,人際,0.17123556
198,憂鬱症,身心,0.14486496
199,憂鬱症,異常,0.12117539
202,憂鬱症,相應,0.109395355
203,憂鬱症,發展,0.083511636
204,憂鬱症,合作,0.027285412
205,憂鬱症,振芝,0.12532309
208,憂鬱症,系統,0.117429145
209,憂鬱症,逐漸,0.04334308
210,憂鬱症,過敏,0.057752486
211,憂鬱症,衛教,0.10259763
212,憂鬱症,指出,0.121559426
213,憂鬱症,親友,0.10330787
214,憂鬱症,能力,0.14575022
215,憂鬱症,傾向,0.038765512
216,憂鬱症,作用,0.036924526
218,憂鬱症,天然,0.116366
219,憂鬱症,重視,0.15714045
220,憂鬱症,選擇,0.11610924
221,憂鬱症,腦部,0.1222581
223,憂鬱症,專科,0.05845567
224,憂鬱症,疲倦,0.11814775
225,憂鬱症,介紹,0.14301854
226,憂鬱症,臺灣,0.16902687
227,憂鬱症,濫用,0.22401881
228,憂鬱症,判斷,0.057597034
229,憂鬱症,學會,0.086420305
230,憂鬱症,處理,0.17728755
231,憂鬱症,輕度,0.050233595
232,憂鬱症,無力,0.01814637
233,憂鬱症,患有,0.14249955
234,憂鬱症,副作用,0.020597482
235,憂鬱症,想法,0.10764462
237,憂鬱症,反覆,0.091971286
239,憂鬱症,脂肪酸,0.17157254
241,憂鬱症,政策,0.1373128
242,憂鬱症,方面,0.26704732
243,憂鬱症,心悸,0.12530679
244,憂鬱症,活力,0.1204506
245,憂鬱症,正確,0.116089866
247,憂鬱症,不適,0.17441794
248,憂鬱症,住院,0.19186419
249,憂鬱症,說明,0.06324056
251,憂鬱症,文章,0.076304086
252,憂鬱症,創傷,0.09571142
253,憂鬱症,資源,0.2127883
255,憂鬱症,男性,0.034616962
257,憂鬱症,給予,0.05632546
259,憂鬱症,緩解,0.07600439
260,憂鬱症,法人,0.11278683
261,憂鬱症,商品,0.20586526
262,憂鬱症,易怒,0.029007956
263,憂鬱症,社團,0.09617958
264,憂鬱症,工具,0.12509778
265,憂鬱症,不斷,0.07108764
267,憂鬱症,事件,0.14486548
