,links,words,counts
0,https://www.smh.org.tw/mag1/3910.htm,精神科,3
0,https://www.smh.org.tw/mag1/3910.htm,生命,3
0,https://www.smh.org.tw/mag1/3910.htm,絕望,1
0,https://www.smh.org.tw/mag1/3910.htm,失去,3
0,https://www.smh.org.tw/mag1/3910.htm,自殺,9
0,https://www.smh.org.tw/mag1/3910.htm,研究,1
0,https://www.smh.org.tw/mag1/3910.htm,資料,1
0,https://www.smh.org.tw/mag1/3910.htm,顯示,1
0,https://www.smh.org.tw/mag1/3910.htm,患有,5
0,https://www.smh.org.tw/mag1/3910.htm,精神,8
0,https://www.smh.org.tw/mag1/3910.htm,疾病,14
0,https://www.smh.org.tw/mag1/3910.htm,憂鬱症,29
0,https://www.smh.org.tw/mag1/3910.htm,發展,3
0,https://www.smh.org.tw/mag1/3910.htm,過程,3
0,https://www.smh.org.tw/mag1/3910.htm,認識,3
0,https://www.smh.org.tw/mag1/3910.htm,發現,2
0,https://www.smh.org.tw/mag1/3910.htm,診斷,1
0,https://www.smh.org.tw/mag1/3910.htm,治療,19
0,https://www.smh.org.tw/mag1/3910.htm,特別,2
0,https://www.smh.org.tw/mag1/3910.htm,重要,1
0,https://www.smh.org.tw/mag1/3910.htm,方法,2
0,https://www.smh.org.tw/mag1/3910.htm,症狀,14
0,https://www.smh.org.tw/mag1/3910.htm,表現,5
0,https://www.smh.org.tw/mag1/3910.htm,親友,1
0,https://www.smh.org.tw/mag1/3910.htm,醫師,2
0,https://www.smh.org.tw/mag1/3910.htm,常見,1
0,https://www.smh.org.tw/mag1/3910.htm,憂鬱,14
0,https://www.smh.org.tw/mag1/3910.htm,情緒,10
0,https://www.smh.org.tw/mag1/3910.htm,生活,4
0,https://www.smh.org.tw/mag1/3910.htm,興趣,1
0,https://www.smh.org.tw/mag1/3910.htm,性慾,1
0,https://www.smh.org.tw/mag1/3910.htm,認知,2
0,https://www.smh.org.tw/mag1/3910.htm,動作,1
0,https://www.smh.org.tw/mag1/3910.htm,反應,1
0,https://www.smh.org.tw/mag1/3910.htm,記憶力,1
0,https://www.smh.org.tw/mag1/3910.htm,無法,5
0,https://www.smh.org.tw/mag1/3910.htm,工作,4
